Libelle client;Material_Description;Material_No_Customer;AVO_Material_No;Quantity;Date 
VALEO Poland;BRUSH D7E ;187144;1026188;68550;30.05.2025
VALEO Poland;BRUSH D7E ;187144;1026188;11;02.06.2025
VALEO Poland;BRUSH D7E ;187144;1026188;68550;From 2025 w36 To 2025 w40
VALEO Poland;BRUSH D7E ;187144;1026188;68550;From 2025 w49 To 2026 w01
VALEO Poland;BRUSH D7E ;187144;1026188;68550;From 2026 w14 To 2026 w18
VALEO Poland;BRUSH D7E ;187144;1026188;68550;From 2026 w27 To 2026 w31
VALEO Poland;BALAI D8R ;190313;1023093;41250;30.05.2025
VALEO Poland;BALAI D8R ;190313;1023093;41250;10.06.2025
VALEO Poland;BALAI D8R ;190313;1023093;11;02.06.2025
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w27 To 2025 w27
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w29 To 2025 w29
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w32 To 2025 w35
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w36 To 2025 w40
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w40 To 2025 w44
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2025 w49 To 2026 w01
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w01 To 2026 w05
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w05 To 2026 w09
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w14 To 2026 w18
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w18 To 2026 w22
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w27 To 2026 w31
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w31 To 2026 w36
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w36 To 2026 w40
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w44 To 2026 w49
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2026 w49 To 2026 w53
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2027 w09 To 2027 w13
VALEO Poland;BALAI D8R ;190313;1023093;41250;From 2027 w17 To 2027 w22
VALEO Poland;BRUSH D7R ;191663;1023645;41250;30.05.2025
VALEO Poland;BRUSH D7R ;191663;1023645;11;02.06.2025
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2025 w28 To 2025 w28
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2025 w36 To 2025 w40
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2025 w44 To 2025 w48
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w01 To 2026 w05
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w05 To 2026 w09
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w14 To 2026 w18
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w23 To 2026 w27
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w31 To 2026 w36
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w40 To 2026 w44
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w44 To 2026 w49
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2026 w53 To 2027 w04
VALEO Poland;BRUSH D7R ;191663;1023645;41250;From 2027 w09 To 2027 w13
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;30.05.2025
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;10.06.2025
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;20.06.2025
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;11;02.06.2025
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2025 w27 To 2025 w27
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2025 w29 To 2025 w29
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;20000;From 2025 w32 To 2025 w35
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;20000;From 2025 w36 To 2025 w40
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2025 w44 To 2025 w48
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2026 w05 To 2026 w09
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2026 w23 To 2026 w27
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;From 2026 w36 To 2026 w40
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;0;11.06.2025
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;11;02.06.2025
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2025 w27 To 2025 w27
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2025 w31 To 2025 w31
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2025 w36 To 2025 w40
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2025 w40 To 2025 w44
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;4000;From 2025 w44 To 2025 w48
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2025 w49 To 2026 w01
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2026 w05 To 2026 w09
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2026 w14 To 2026 w18
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2026 w23 To 2026 w27
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;From 2026 w36 To 2026 w40
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;8000;04.06.2025
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w26 To 2025 w26
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w32 To 2025 w35
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w36 To 2025 w40
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w40 To 2025 w44
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w44 To 2025 w48
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2025 w49 To 2026 w01
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w01 To 2026 w05
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w05 To 2026 w09
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w09 To 2026 w14
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w14 To 2026 w18
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w18 To 2026 w22
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;4000;From 2026 w27 To 2026 w31
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w31 To 2026 w36
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;From 2026 w40 To 2026 w44
